,Date,Country,Confirmed,Recovered,Deaths,Active,New Cases,New Recovered,New Deaths
12490,2020-03-29,Latvia,347,1.0,0,346.0,42,0,0
12805,2020-03-31,Costa Rica,347,4.0,2,341.0,17,0,0
11736,2020-03-25,Iraq,346,103.0,29,214.0,30,2,28
12420,2020-03-29,Bulgaria,346,14.0,8,324.0,15,1,3
11599,2020-03-24,Panama,345,1.0,6,338.0,0,0,1
11414,2020-03-23,Panama,345,0.0,6,339.0,32,3,0
13716,2020-04-05,Burkina Faso,345,90.0,17,238.0,27,1,24
13777,2020-04-05,Jordan,345,110.0,5,230.0,22,0,36
10695,2020-03-19,Singapore,345,114.0,0,231.0,32,0,0
12141,2020-03-27,Morocco,345,11.0,23,311.0,70,12,3
14758,2020-04-10,San Marino,344,50.0,34,260.0,11,0,1
10875,2020-03-20,Saudi Arabia,344,8.0,0,336.0,70,0,2
14505,2020-04-09,Honduras,343,6.0,23,314.0,31,1,0
12853,2020-03-31,Kazakhstan,343,24.0,2,317.0,41,1,3
15294,2020-04-13,Nigeria,343,91.0,10,242.0,20,0,6
12286,2020-03-28,Hungary,343,34.0,11,298.0,43,1,0
17479,2020-04-25,Kenya,343,98.0,14,231.0,7,0,4
14368,2020-04-08,Niger,342,28.0,11,303.0,64,0,2
17570,2020-04-25,West Bank and Gaza,342,92.0,2,248.0,0,-2,0
13867,2020-04-05,Uzbekistan,342,30.0,2,310.0,76,0,5
17940,2020-04-27,West Bank and Gaza,342,83.0,2,257.0,0,0,0
16056,2020-04-17,Senegal,342,198.0,2,142.0,7,0,4
13227,2020-04-02,Kuwait,342,81.0,0,261.0,25,0,1
17755,2020-04-26,West Bank and Gaza,342,83.0,2,257.0,0,0,-9
10882,2020-03-20,Slovenia,341,0.0,1,340.0,55,0,0
14893,2020-04-11,Kyrgyzstan,339,44.0,5,290.0,41,0,9
13298,2020-04-02,Taiwan*,339,45.0,5,289.0,10,0,6
12941,2020-03-31,Uruguay,338,41.0,1,296.0,28,0,41
13126,2020-04-01,Uruguay,338,41.0,2,295.0,0,1,0
9756,2020-03-14,Qatar,337,4.0,0,333.0,17,0,4
8671,2020-03-08,Switzerland,337,3.0,2,332.0,69,1,0
14538,2020-04-09,Malta,337,16.0,2,319.0,38,1,0
12731,2020-03-30,Slovakia,336,7.0,0,329.0,22,0,5
10420,2020-03-18,Finland,336,10.0,0,326.0,15,0,0
17294,2020-04-24,Kenya,336,94.0,14,228.0,16,0,5
15871,2020-04-16,Senegal,335,194.0,2,139.0,21,0,4
10646,2020-03-19,Luxembourg,335,0.0,4,331.0,132,2,0
17870,2020-04-27,Mauritius,334,302.0,10,22.0,2,1,3
12398,2020-03-29,Andorra,334,1.0,6,327.0,26,3,0
11112,2020-03-22,Bahrain,334,149.0,2,183.0,29,1,24
13506,2020-04-04,Albania,333,99.0,20,214.0,29,3,10
11751,2020-03-25,Lebanon,333,20.0,6,307.0,15,2,12
14573,2020-04-09,San Marino,333,49.0,34,250.0,54,0,9
11829,2020-03-25,United Arab Emirates,333,52.0,2,279.0,85,0,7
12014,2020-03-26,United Arab Emirates,333,52.0,2,279.0,0,0,0
16504,2020-04-20,Congo (Kinshasa),332,27.0,25,280.0,5,0,1
17685,2020-04-26,Mauritius,332,299.0,9,24.0,1,0,4
9872,2020-03-15,Greece,331,8.0,4,319.0,103,1,0
10125,2020-03-16,Portugal,331,3.0,0,328.0,86,0,1
7856,2020-03-04,Japan,331,43.0,6,282.0,38,0,0
17130,2020-04-23,Mauritius,331,266.0,9,56.0,2,0,5
10057,2020-03-16,Greece,331,8.0,4,319.0,0,0,0
14002,2020-04-06,Oman,331,61.0,2,268.0,33,0,0
17500,2020-04-25,Mauritius,331,295.0,9,27.0,0,0,10
12235,2020-03-28,Bulgaria,331,11.0,7,313.0,38,4,2
17315,2020-04-24,Mauritius,331,285.0,9,37.0,0,0,19
14443,2020-04-09,Bangladesh,330,33.0,21,276.0,112,1,0
10993,2020-03-21,India,330,23.0,4,303.0,86,-1,3
10622,2020-03-19,Iceland,330,5.0,1,324.0,80,0,0
15190,2020-04-13,Bolivia,330,2.0,27,301.0,30,3,0
16992,2020-04-22,Sri Lanka,330,105.0,7,218.0,20,0,3
12620,2020-03-30,Costa Rica,330,4.0,2,324.0,16,0,1
13113,2020-04-01,Taiwan*,329,39.0,5,285.0,7,0,0
12890,2020-03-31,North Macedonia,329,12.0,9,308.0,44,2,0
16945,2020-04-22,Mauritius,329,261.0,9,59.0,1,0,18
17938,2020-04-27,Venezuela,329,142.0,10,177.0,4,0,5
12032,2020-03-27,Armenia,329,28.0,1,300.0,39,0,10
17358,2020-04-24,Somalia,328,8.0,16,304.0,0,0,0
16760,2020-04-21,Mauritius,328,243.0,9,76.0,0,0,19
16390,2020-04-19,Mauritius,328,208.0,9,111.0,3,0,28
16575,2020-04-20,Mauritius,328,224.0,9,95.0,0,0,16
17173,2020-04-23,Somalia,328,8.0,16,304.0,42,8,4
11152,2020-03-22,Egypt,327,56.0,14,257.0,33,4,15
16319,2020-04-19,Congo (Kinshasa),327,26.0,25,276.0,20,0,0
11156,2020-03-22,Estonia,326,2.0,0,324.0,20,0,1
17312,2020-04-24,Mali,325,87.0,21,217.0,16,0,10
17753,2020-04-26,Venezuela,325,137.0,10,178.0,2,0,5
16205,2020-04-18,Mauritius,325,180.0,9,136.0,1,0,72
15465,2020-04-14,Mauritius,324,51.0,9,264.0,0,0,9
15095,2020-04-12,Mauritius,324,42.0,9,273.0,5,0,14
16020,2020-04-17,Mauritius,324,108.0,9,207.0,0,0,27
15835,2020-04-16,Mauritius,324,81.0,9,234.0,0,0,16
15280,2020-04-13,Mauritius,324,42.0,9,273.0,0,0,0
15650,2020-04-15,Mauritius,324,65.0,9,250.0,0,0,14
15109,2020-04-12,Nigeria,323,85.0,10,228.0,5,0,15
12416,2020-03-29,Bosnia and Herzegovina,323,8.0,6,309.0,65,1,3
13916,2020-04-06,Cote d'Ivoire,323,41.0,3,279.0,62,0,4
13592,2020-04-04,Jordan,323,74.0,5,244.0,13,0,16
17568,2020-04-25,Venezuela,323,132.0,10,181.0,5,0,0
17813,2020-04-27,El Salvador,323,89.0,8,226.0,25,0,6
6374,2020-02-25,Italy,322,1.0,10,311.0,93,3,0
8870,2020-03-09,UK,322,18.0,4,300.0,48,1,0
12928,2020-03-31,Taiwan*,322,39.0,5,278.0,16,0,0
10895,2020-03-20,Thailand,322,42.0,1,279.0,50,0,0
17875,2020-04-27,Montenegro,321,189.0,7,125.0,0,0,36
17690,2020-04-26,Montenegro,321,153.0,7,161.0,1,1,0
10198,2020-03-17,Brazil,321,2.0,1,318.0,121,1,1
10235,2020-03-17,Finland,321,10.0,0,311.0,44,0,0
8815,2020-03-09,Netherlands,321,0.0,3,318.0,56,0,0
13733,2020-04-05,Cuba,320,15.0,8,297.0,32,2,0
17505,2020-04-25,Montenegro,320,153.0,6,161.0,1,0,30
12994,2020-04-01,Cyprus,320,28.0,9,283.0,58,1,5
17109,2020-04-23,Kenya,320,89.0,14,217.0,17,0,15
9571,2020-03-13,Qatar,320,0.0,0,320.0,58,0,0
15240,2020-04-13,Guinea,319,17.0,0,302.0,69,0,0
14910,2020-04-11,Mauritius,319,28.0,9,282.0,1,0,5
17320,2020-04-24,Montenegro,319,123.0,6,190.0,3,1,0
14725,2020-04-10,Mauritius,318,23.0,9,286.0,4,2,0
11047,2020-03-21,Peru,318,1.0,5,312.0,84,2,0
13531,2020-04-04,Burkina Faso,318,66.0,16,236.0,16,0,16
11566,2020-03-24,Lebanon,318,8.0,4,306.0,51,0,0
14924,2020-04-11,Nigeria,318,70.0,10,238.0,13,3,12
17383,2020-04-24,Venezuela,318,132.0,10,176.0,7,0,6
13042,2020-04-01,Kuwait,317,80.0,0,237.0,28,0,7
11211,2020-03-22,Mexico,316,4.0,3,309.0,65,1,0
11551,2020-03-24,Iraq,316,75.0,27,214.0,50,4,18
16904,2020-04-22,Guatemala,316,24.0,8,284.0,22,1,0
17135,2020-04-23,Montenegro,316,123.0,5,188.0,1,0,7
16950,2020-04-22,Montenegro,315,116.0,5,194.0,2,0,15
11327,2020-03-23,Croatia,315,5.0,1,309.0,61,0,0
14540,2020-04-09,Mauritius,314,23.0,7,284.0,41,0,4
12435,2020-03-29,Costa Rica,314,3.0,2,309.0,19,0,0
9266,2020-03-12,Belgium,314,1.0,3,310.0,0,0,0
15686,2020-04-15,Senegal,314,190.0,2,122.0,15,0,7
12546,2020-03-29,Slovakia,314,2.0,0,312.0,22,0,0
9081,2020-03-11,Belgium,314,1.0,3,310.0,47,3,0
10510,2020-03-18,Singapore,313,114.0,0,199.0,47,0,0
14311,2020-04-08,Ghana,313,34.0,6,273.0,26,1,3
11229,2020-03-22,Panama,313,0.0,3,310.0,113,2,0
16765,2020-04-21,Montenegro,313,101.0,5,207.0,1,0,13
16580,2020-04-20,Montenegro,312,88.0,5,219.0,4,0,33
14320,2020-04-08,Honduras,312,6.0,22,284.0,7,0,0
12749,2020-03-30,Tunisia,312,3.0,8,301.0,0,0,1
11520,2020-03-24,Dominican Republic,312,3.0,6,303.0,67,3,3
12564,2020-03-29,Tunisia,312,2.0,8,302.0,34,0,0
17198,2020-04-23,Venezuela,311,126.0,10,175.0,23,0,4
10624,2020-03-19,Indonesia,311,11.0,25,275.0,84,6,0
16807,2020-04-21,Sri Lanka,310,102.0,7,201.0,6,0,4
12756,2020-03-30,Uruguay,310,0.0,1,309.0,6,0,0
12198,2020-03-27,Ukraine,310,5.0,5,300.0,114,0,4
13407,2020-04-03,Jordan,310,58.0,5,247.0,11,0,13
17127,2020-04-23,Mali,309,77.0,21,211.0,16,4,4
15535,2020-04-14,West Bank and Gaza,308,62.0,2,244.0,0,0,4
10867,2020-03-20,Romania,308,25.0,0,283.0,31,0,0
12213,2020-03-28,Andorra,308,1.0,3,304.0,41,0,0
15350,2020-04-13,West Bank and Gaza,308,58.0,2,248.0,18,0,0
16395,2020-04-19,Montenegro,308,55.0,5,248.0,1,0,0
11048,2020-03-21,Philippines,307,13.0,19,275.0,77,1,5
16210,2020-04-18,Montenegro,307,55.0,5,247.0,4,0,0
16134,2020-04-18,Congo (Kinshasa),307,26.0,25,256.0,20,2,1
12743,2020-03-30,Taiwan*,306,39.0,5,262.0,8,3,9
11053,2020-03-21,Russia,306,12.0,1,293.0,53,0,3
10971,2020-03-21,Estonia,306,1.0,0,305.0,23,0,0
15604,2020-04-15,Georgia,306,71.0,3,232.0,6,0,2
13166,2020-04-02,Cameroon,306,0.0,7,299.0,73,1,0
12305,2020-03-28,Latvia,305,1.0,0,304.0,25,0,0
14739,2020-04-10,Nigeria,305,58.0,7,240.0,17,0,7
10927,2020-03-21,Bahrain,305,125.0,1,179.0,20,0,25
14135,2020-04-07,Honduras,305,6.0,22,277.0,7,0,0
17475,2020-04-25,Jamaica,305,28.0,7,270.0,17,0,0
13150,2020-04-02,Belarus,304,53.0,4,247.0,141,2,0
12571,2020-03-29,Uruguay,304,0.0,1,303.0,30,1,0
16622,2020-04-20,Sri Lanka,304,98.0,7,199.0,33,0,2
13321,2020-04-03,Albania,304,89.0,17,198.0,27,1,13
10443,2020-03-18,Israel,304,11.0,0,293.0,54,0,0
15840,2020-04-16,Montenegro,303,55.0,4,244.0,15,0,0
16924,2020-04-22,Kenya,303,74.0,14,215.0,7,0,0
16025,2020-04-17,Montenegro,303,55.0,5,243.0,0,1,0
11617,2020-03-24,Serbia,303,15.0,3,285.0,54,0,14
12668,2020-03-30,Kazakhstan,302,21.0,1,280.0,18,0,1
11657,2020-03-25,Algeria,302,65.0,21,216.0,38,2,41
13346,2020-04-03,Burkina Faso,302,50.0,16,236.0,14,0,0
9259,2020-03-12,Austria,302,4.0,1,297.0,56,1,0
11291,2020-03-23,Argentina,301,3.0,4,294.0,35,0,0
12101,2020-03-27,Hungary,300,34.0,10,256.0,39,0,6
15005,2020-04-12,Bolivia,300,2.0,24,274.0,25,4,0
15419,2020-04-14,Georgia,300,69.0,3,228.0,28,0,1
13222,2020-04-02,Jordan,299,45.0,5,249.0,21,0,9
11940,2020-03-26,Lithuania,299,1.0,4,294.0,25,0,0
14353,2020-04-08,Malta,299,16.0,1,282.0,6,1,11
17924,2020-04-27,Tanzania,299,48.0,10,241.0,0,0,0
17369,2020-04-24,Tanzania,299,48.0,10,241.0,15,0,37
15501,2020-04-14,Senegal,299,183.0,2,114.0,8,0,5
17554,2020-04-25,Tanzania,299,48.0,10,241.0,0,0,0
17739,2020-04-26,Tanzania,299,48.0,10,241.0,0,0,0
13505,2020-04-04,Afghanistan,299,10.0,7,282.0,18,1,0
10488,2020-03-18,Pakistan,299,2.0,0,297.0,63,0,0
10035,2020-03-16,Czechia,298,0.0,0,298.0,45,0,0
12558,2020-03-29,Taiwan*,298,30.0,2,266.0,15,0,0
12692,2020-03-30,Moldova,298,15.0,2,281.0,35,0,13
12775,2020-03-31,Azerbaijan,298,26.0,5,267.0,25,1,0
13817,2020-04-05,Oman,298,61.0,2,235.0,21,0,0
15218,2020-04-13,Djibouti,298,41.0,2,255.0,84,0,5
17628,2020-04-26,El Salvador,298,83.0,8,207.0,24,0,8
13950,2020-04-06,Honduras,298,6.0,22,270.0,30,0,0
14708,2020-04-10,Kyrgyzstan,298,35.0,5,258.0,18,1,0
9813,2020-03-15,Australia,297,23.0,3,271.0,47,0,0
16739,2020-04-21,Kenya,296,74.0,14,208.0,15,0,5
12250,2020-03-28,Costa Rica,295,3.0,2,290.0,32,0,0
10967,2020-03-21,Egypt,294,41.0,10,243.0,9,2,2
16719,2020-04-21,Guatemala,294,24.0,7,263.0,5,0,3
12050,2020-03-27,Bulgaria,293,9.0,3,281.0,29,0,1
16942,2020-04-22,Mali,293,73.0,17,203.0,35,3,16
14168,2020-04-07,Malta,293,5.0,0,288.0,52,0,0
7671,2020-03-03,Japan,293,43.0,6,244.0,19,0,11
12361,2020-03-28,Slovakia,292,2.0,0,290.0,23,0,0
10442,2020-03-18,Ireland,292,5.0,2,285.0,69,0,0
15316,2020-04-13,Senegal,291,178.0,2,111.0,11,0,7
11847,2020-03-26,Armenia,290,18.0,1,271.0,25,1,2
